name,category,area,city,full_address,phone,google_rating,review_count,website_status,notes,source_url,call_ready,priority_score
Syncopation School Of Music,Music,Meera Bagh,Delhi,"A-8 Basement, Near Punjab and Sind Bank, Meera Bagh, Delhi 110087",08123904620,4.9,75,none,Guitar/vocal/dance; Justdial Claimed + Add Website; high ratings,https://www.justdial.com/Delhi/Syncopation-School-Of-Music-Near-Punjab-and-Sind-Bank-Meera-Bagh/011PXX11-XX11-210102181118-S5U1_BZDET,yes,-10
Central Music Institute Punjabi Bagh,Music,West Punjabi Bagh,Delhi,"Building Number 18, NWA Club Road, West Punjabi Bagh, Delhi 110026",08460306843,4.9,3635,unknown_likely_none,Very high JD ratings; JD Visit Website—use only if site is weak/not dedicated,https://www.justdial.com/Delhi/Central-Music-Institute-Opposite-to-Tim-Hortons-West-Punjabi-Bagh/011PXX11-XX11-221206113208-K1Z8_BZDET,yes,-5
Musicians Stop,Music,Safdarjung Enclave,Delhi,"B-4/156 Basement, Opposite Kamal Cinema, Safdarjung Enclave, Delhi 110029",011-41644151,,,none,Guitar/vocal classes; Grotal; no polished site found,https://www.grotal.com/Delhi/Musicians-Stop-C44/,yes,-5
Antara Music Classes,Music,Laxmi Nagar,Delhi,"Shop No C-1A, Guru Ramdas Nagar, Near Balaji Rasoi, Laxmi Nagar, Delhi 110092",,4.9,618,none,Vocal/instruments; Justdial Claimed + Add Website; high reviews,https://www.justdial.com/Delhi/Antara-Music-Classes-Near-Balaji-Rasoi-Laxmi-Nagar/011PXX11-XX11-180514174012-E9R8_BZDET,no,0
The English Academy IELTS Dilshad Garden,Spoken_English,Dilshad Garden,Delhi,"F-199A, Opposite Chetak Complex, Dilshad Garden, Delhi 110095",,4.9,502,none,IELTS + spoken English; Justdial Claimed + Add Website; high review count,https://www.justdial.com/Delhi/The-English-Academy-IELTS-Spoken-English-Opposite-Chetak-Complex-Dilshad-Garden/011PXX11-XX11-170425182211-D7M3_BZDET,no,0
Yogi Music Classes,Music,Sector 10,Gurgaon,"Plot No 931/10, Sector 10 Main Road, Krishna Nagar, Gurgaon 122001",,5.0,313,none,Guitar/vocal/flute/piano; Justdial Add Website; high ratings,https://www.justdial.com/Gurgaon/Yogi-Music-Classes-Krishna-Nagar-Gurgaon-Sector-10/011PXX11-XX11-230827141148-J3U5_BZDET,no,0
British And American English Academy,Spoken_English,Laxmi Nagar,Delhi,"S-547 A, First Floor, CBR Building, Main Road, Laxmi Nagar, Delhi 110092",,4.3,246,none,IELTS/spoken English; Justdial Claimed + Add Website,https://www.justdial.com/Delhi/British-And-American-English-Academy-Laxmi-Nagar/011PXX11-XX11-171204160405-Q8H8_BZDET,no,0
Neorhythm Guitar Studio,Music,Laxmi Nagar,Delhi,"D-5, 1st Floor, Avadha Complex, Opp Metro Pillar 34-35, Near Sai Baba Mandir, Laxmi Nagar, Delhi 110092",,4.8,138,none,Guitar studio; Justdial Claimed + Add Website,https://www.justdial.com/Delhi/Neorhythm-Guitar-Studio-Opposite-Metro-Pillar-No-3435-Near-Sai-Baba-Mandir-Laxmi-Nagar/011PXX11-XX11-190217153947-A5Z4_BZDET,no,0
Rampur Sahaswan Gharana,Music,Malviya Nagar,Delhi,"J3 47C, Block G-5, Malviya Nagar, Delhi 110017",,4.9,125,none,Classical/semi-classical vocal; Justdial Claimed + Add Website,https://www.justdial.com/Delhi/Rampur-Sahaswan-Gharana-Malviya-Nagar/011PXX11-XX11-230906120647-Q7V4_BZDET,no,0
Willbridge English Language Learning,Spoken_English,Dwarka Sector 11,Delhi,"Vardhamaan DeeCee Plaza, Plot No 6, Sector 11, Bldg 202-203, Dwarka Sector 11, Delhi 110075",,4.9,117,none,Spoken English; Justdial Add Website,https://www.justdial.com/Delhi/Willbridge-English-Language-Learning-Next-to-Akash-Institute-Dwarka-Sector-11/011PXX11-XX11-190408131519-V4P1_BZDET,no,0
Rhythm and Beats,Music,Adarsh Nagar,Delhi,"Fragrance Tower / A-247 Main Market near Meerut Wale sweets, Majlish Park, Adarsh Nagar, Delhi 110033",,4.9,109,none,Guitar/keyboard/vocal/piano; Justdial Add Website,https://www.justdial.com/Delhi/Rhythm-and-Beats-Meerut-Wale-Adarsh-Nagar/011PXX11-XX11-230325135526-F3L7_BZDET,no,0
Prism School Of Music,Music,Sector 38,Gurgaon,"Plot No 629P, Near Shunash Chowk, Gurgaon Sector 38, Gurgaon 122001",,4.4,93,none,Multi-instrument; Justdial Add Website,https://www.justdial.com/Gurgaon/Prism-School-Of-Music-Near-Shunash-Chowk-Gurgaon-Sector-38/011PXX11-XX11-200219182456-G3Q8_BZDET,no,5
The Feel Music Classes,Music,Burari,Delhi,"H.No 3494, Gali No B-93, Main Market Sant Nagar, Burari, Delhi 110084",,4.8,85,none,Multi-instrument music school; Justdial Claimed,https://www.justdial.com/Delhi/The-Feel-Music-Classes-Apex-Public-School-Burari-Burari/011PXX11-XX11-170714225502-W2M4_BZDET,no,5
Vibes School Of Music & Performing Arts,Music,Indirapuram,Ghaziabad,"Plot Number 15, Ground Floor-1, Behind St.Thomas School, Indirapuram, Ghaziabad 201014",,4.6,58,none,Instrumental/vocal performing arts; Justdial Claimed + Add Website,https://www.justdial.com/Ghaziabad/Vibes-School-Of-Music-Performing-Arts-Behind-StThomas-School-Indirapuram/011PXX11-XX11-200228111519-X5L9_BZDET,no,5
Artbeat INDIA Indirapuram,Spoken_English,Indirapuram,Ghaziabad,"Shipra Krishna Vista, 14 Ahinsa Khand, Near Shipra Sun City, Indirapuram, Ghaziabad 201014",,4.7,41,none,Arts primary; also tagged Language Classes For English; Justdial Add Website,https://www.justdial.com/Ghaziabad/Artbeat-INDIA-Near-Shipra-Sun-City-Indirapuram/011PXX11-XX11-121021113601-L7F2_BZDET,no,5
C K Studios Hastsal,Music,Uttam Nagar / Hastsal,Delhi,"A-84, Vidya Vihar, Hastsal Road near Kendriya Vidyalaya, Uttam Nagar 110059",,4.6,35,none,Justdial Claimed + Add Website,https://www.justdial.com/Delhi/C-K-Studios-Near-Kendriya-Vidyalaya-Uttam-Nagar/011PXX11-XX11-210830122308-J2H8_BZDET,no,5
Tpoint Language Noida,Spoken_English,Sector 3,Noida,"2nd Floor, Building G-13, G Block, Near Sector 16 Metro, Sector 3, Noida 201301",07405786729,4.9,16,unknown_likely_none,English conversation among languages; confirm if JD Visit Website is polished,https://www.justdial.com/Noida/Tpoint-Language-Learn-Spanish-French-German-Near-Noida-Sector-16-Metro-Station-Noida-Sector-3/011PXX11-XX11-250114151144-H5Q2_BZDET,yes,5
British Academy For English Laxmi Nagar,Spoken_English,Laxmi Nagar,Delhi,"G-56/57, Vikas Marg, Laxmi Nagar, Delhi 110092",011-64525733,,,unknown_likely_none,Spoken English/communication; Yellow Pages; website N/A,https://yellowpages.webindia123.com/d-t/Delhi/Delhi/British-Academy-For-English-Laxmi-Nagar/15397/,yes,5
Swaranjali Music and Dance School HQ phones,Music,Delhi (HQ / multi),Delhi,Delhi classical music school founded 2002 (Dwarka branch listed separately),9711811389,,,unknown_likely_none,Published phones on swaranjalimusicanddanceschool.com—site exists so treat carefully; may be same brand as Dwarka JD Add Website listing,https://swaranjalimusicanddanceschool.com/,yes,5
Margshree Classes,IIT_NEET,Shakarpur / Laxmi Nagar,Delhi,"315, Vikash Complex, Vikas Marg, Metro Pillar 56, Near Nirman Vihar Metro, Shakarpur, Delhi 110092",,4.9,308,unknown_likely_none,Small-batch JEE/NEET/CUET; high Sulekha reviews; no polished own site confirmed,https://www.sulekha.com/margshree-classes-laxmi-nagar-delhi-contact-address,no,10
Academy Of British English Rajouri Garden,Spoken_English,Rajouri Garden,Delhi,"J-1/163, Opp Metro Pillar 406, Rajouri Garden, Delhi 110027",,3.9,292,unknown_likely_none,IELTS/PTE long-running; JD Visit Website—include only if site is weak/template,https://www.justdial.com/Delhi/Academy-Of-British-English-Opposite-Metro-Pillar-Number-406-Rajouri-Garden/011PXX11-XX11-120903122142-B7E2_BZDET,no,10
Maths By Rahul Sir,IIT_NEET,Sector 17,Faridabad,"SCF-3 First Floor, Above Big Boss Saloon, Ekant Hotel, Sector 17, Faridabad 121002",,4.9,195,unknown_likely_none,JEE maths specialist; Faridabad NCR; verify website status,https://www.justdial.com/Faridabad/Maths-By-Rahul-Sir-Ekant-Hotel-Faridabad-Sector-17/011PXX11-XX11-230420083137-I7Q6_BZDET,no,10
En-Gate Academy Of English Language,Spoken_English,Rohini Sector 16,Delhi,"H-5/20 First Floor, Sector-16 Rohini, Near Jain Bharti Model School, Delhi 110089",,4.9,136,unknown_likely_none,Spoken English; JD Visit Website—confirm polish level,https://www.justdial.com/Delhi/En-Gate-Academy-Of-English-Language-Near-Jain-Bharti-Model-School-Rohini-Sector-16/011PXX11-XX11-210310193239-I3G9_BZDET,no,10
