name,area,city,full_address,phone,google_rating,review_count,website_status,notes,source_url,call_ready,priority_score
Hype the gym 10A,Sector 10A,Gurugram,"SCO-69, 70, Huda Market Rd, Sector 10A, Gurugram, Haryana 122001",+91 96434 30056,4.7,708,none,Local multi-location brand; hypethegym.com appears domain-for-sale not a gym site,https://yappe.in/haryana/gurugram/hype-the-gym-10a/1724513,yes,-15
Hype The Gym Sector 15,Sector 15,Gurugram,"Sector 15 Part 2 area, Gurugram, Haryana 122001",+91 97114 64261,4.5,584,none,Confirm exact plot on Google Maps before outreach,https://yappe.in/haryana/gurugram/gym,yes,-15
Fiziko Fitness,Sector 23,Gurugram,"SCO 36, Main Huda Market near Om Sweets, Sector 23, Gurugram 122001",+91 92054 24018,4.8,468,instagram_only,Yappe lists Instagram as website,https://yappe.in/haryana/gurugram/fiziko-fitness-best-gym-bhangra-zumba-best-crossfit-group-classes-in-sec-23-gurgaon/1072607,yes,-15
Hype The Gym Sector 45,Sector 45,Gurugram,"Sector 45, Gurugram",+91 98887 68885,4.7,362,none,Confirm exact address on Google Maps,https://yappe.in/haryana/gurugram/gym,yes,-15
Iron Athlete Gym,Janakpuri,Delhi,"B3/174, Block B3, Janakpuri, New Delhi 110058",+91 87004 78908,4.5,73,none,Justdial/Yappe claimable listing; Add Website present,https://yappe.in/delhi/new-delhi/iron-athlete-gym/1072547,yes,-10
Glorious Gym/CROSSFIT,Kirari Suleman Nagar,Delhi,"Hari Enclave, A-157, Kirari Suleman Nagar Village, New Delhi 110086",+91 92120 55456,4.9,1752,unknown_likely_none,Very high review volume; no professional brand site found,https://yappe.in/delhi/new-delhi/glorious-gym-crossfit/1978401,yes,-5
Curl Fitness Gym,DLF Phase 3,Gurugram,"DLF U 15, 37, DLF Phase 3, Gurugram, Haryana 122002",+91 98734 40644,4.8,744,unknown_likely_none,No dedicated website found,https://yappe.in/haryana/gurugram/curl-fitness-gym/1478371,yes,-5
Physique First,Rajiv Nagar,Gurugram,"Gali No.11, New Mata Mandir Rd, Rajiv Nagar, Gurugram, Haryana 122001",+91 98713 94324,4.9,570,unknown_likely_none,No website found,https://yappe.in/haryana/gurugram/physique-first/1724641,yes,-5
Empire of Fitness Sec 31,Sector 31,Gurugram,"Second Floor, SCO 7,8,9, Above IndusInd Bank, Main Huda Market, Sector 31, Gurugram 122001",+91 97186 69449,4.6,561,unknown_likely_none,No clear professional marketing site found,https://yappe.in/haryana/gurugram/empire-of-fitness-sec-31/1836299,yes,-5
Alligator Gym & Fitness Studio,Paharganj,Delhi,"1, Desh Bandhu Gupta Rd, near SBI ATM, Bazar Sangatrashan, Multani Dhanda, Paharganj, New Delhi 110055",+91 98995 42012,4.8,552,unknown_likely_none,No dedicated website found,https://promallu.com/toprated/india/alligator-gym-fitness-studio-paharganj-24gj7/,yes,-5
