name,category,area,city,full_address,phone,google_rating,review_count,website_status,notes,source_url,call_ready,priority_score
Syncopation School Of Music,Music,Meera Bagh,Delhi,"A-8 Basement, Near Punjab and Sind Bank, Meera Bagh, Delhi 110087",08123904620,4.9,75,none,Guitar/vocal/dance; Justdial Claimed + Add Website; high ratings,https://www.justdial.com/Delhi/Syncopation-School-Of-Music-Near-Punjab-and-Sind-Bank-Meera-Bagh/011PXX11-XX11-210102181118-S5U1_BZDET,yes,-10
Central Music Institute Punjabi Bagh,Music,West Punjabi Bagh,Delhi,"Building Number 18, NWA Club Road, West Punjabi Bagh, Delhi 110026",08460306843,4.9,3635,unknown_likely_none,Very high JD ratings; JD Visit Website—use only if site is weak/not dedicated,https://www.justdial.com/Delhi/Central-Music-Institute-Opposite-to-Tim-Hortons-West-Punjabi-Bagh/011PXX11-XX11-221206113208-K1Z8_BZDET,yes,-5
Musicians Stop,Music,Safdarjung Enclave,Delhi,"B-4/156 Basement, Opposite Kamal Cinema, Safdarjung Enclave, Delhi 110029",011-41644151,,,none,Guitar/vocal classes; Grotal; no polished site found,https://www.grotal.com/Delhi/Musicians-Stop-C44/,yes,-5
Tpoint Language Noida,Spoken_English,Sector 3,Noida,"2nd Floor, Building G-13, G Block, Near Sector 16 Metro, Sector 3, Noida 201301",07405786729,4.9,16,unknown_likely_none,English conversation among languages; confirm if JD Visit Website is polished,https://www.justdial.com/Noida/Tpoint-Language-Learn-Spanish-French-German-Near-Noida-Sector-16-Metro-Station-Noida-Sector-3/011PXX11-XX11-250114151144-H5Q2_BZDET,yes,5
British Academy For English Laxmi Nagar,Spoken_English,Laxmi Nagar,Delhi,"G-56/57, Vikas Marg, Laxmi Nagar, Delhi 110092",011-64525733,,,unknown_likely_none,Spoken English/communication; Yellow Pages; website N/A,https://yellowpages.webindia123.com/d-t/Delhi/Delhi/British-Academy-For-English-Laxmi-Nagar/15397/,yes,5
Swaranjali Music and Dance School HQ phones,Music,Delhi (HQ / multi),Delhi,Delhi classical music school founded 2002 (Dwarka branch listed separately),9711811389,,,unknown_likely_none,Published phones on swaranjalimusicanddanceschool.com—site exists so treat carefully; may be same brand as Dwarka JD Add Website listing,https://swaranjalimusicanddanceschool.com/,yes,5
Success Ladder,IIT_NEET,Mayur Vihar Phase 3,Delhi,"94-A, Pocket A3, LIG Flats, Labour Chowk Road, Near Ryan International School, Mayur Vihar Phase 3, Delhi 110096",9990940808,4.9,55,broken_or_template,Small local JEE/NEET/boards; Justdial claimed; DIY site successladder.study only,https://www.justdial.com/Delhi/Success-Ladder-Near-Ryan-International-School-Mayur-Vihar-Phase-3/011PXX11-XX11-210202102515-S2Y9_BZDET,yes,20
Abhishek Sinha Abiona Education,IIT_NEET,Sector 57,Gurgaon,"Sector 57, Gurgaon (online small batches)",9717288557,,,urbanpro_only,IIT BHU PCM; JEE/boards,https://www.urbanpro.com/gurgaon/abhishek-sinha,yes,20
Siddhant Kumar Maurya Physics,IIT_NEET,Online / Delhi NCR,Delhi,Online Zoom/Webex Physics Class 11 + JEE/NEET,9905683583,,,urbanpro_only,Published WhatsApp phone on UrbanPro,https://www.urbanpro.com/online-class/physics-class-11-jee-neet-online-through-zoom/24324333,yes,20
Tamanna Sangeet Vidyalaya,Music,Sukhrali / MG Road,Gurgaon,"First Floor, Chajju Ram Building, MG Road, Sukhrali, Gurugram",9654929196,,,urbanpro_only,Guitar/keyboard/piano/vocal + dance; UrbanPro listing,https://www.urbanpro.com/gurgaon/tamanna-sangeet-vidyalaya-sukhrali/5697336,yes,20
Music Tutor Delhi Mr Paras,Music,Delhi NCR home tuition,Delhi,Home coaching Model Town Ashok Vihar Karol Bagh Shahdara Rohini Dwarka,9873085729,,,broken_or_template,WordPress blog only; guitar/keyboard/vocal home tuition,https://musictutordelhi.wordpress.com/,yes,25
